model,RMSE,MAE
NB T2m lagged 47,689.4724021232596,686.3558060737665
NB T2m lagged 48,765.3330750988359,760.5263615684694
NB T2m lagged 49,803.8505921676262,793.6936805585799
NB T2m lagged 50,829.5939163788017,824.0720605871443
NB T2m lagged 51,833.251669773842,830.8685730472016
NB T2m lagged 52,809.5515557399668,806.8400988599203
NB Precip lagged 1,859.6468095349672,852.2874011272537
NB Precip lagged 2,774.6278617562804,739.1685699528568
NB Precip lagged 3,736.3317318935902,724.9212017470627
NB Precip lagged 4,742.0469143997393,724.0652670529539
NB Precip lagged 5,782.8331448587868,753.6878074742833
NB Precip lagged 6,861.6599121530596,857.5239790886707
NB Precip lagged 7,785.8893858840651,727.1311864416455
NB Precip lagged 8,674.6124486285046,584.2308279686991
NB Precip lagged 9,670.5163814992981,601.5763888043373
NB Precip lagged 10,704.52131695812,640.3048006609145
NB Precip lagged 11,779.0205217410405,761.5771533301943
NB Precip lagged 12,770.2094673418574,758.5371164197246
NB Precip lagged 13,753.0022473807613,750.7344935899092
NB Precip lagged 14,668.0966774651127,635.4222916620397
NB Precip lagged 15,673.4263701039777,660.8376328566114
NB Precip lagged 16,633.4521103565002,578.7092600805622
NB Precip lagged 17,506.31266870278944,429.37976791824326
NB Precip lagged 18,547.3252762720853,488.6727404806287
NB Precip lagged 19,530.9525402897934,494.7066201710829
NB Precip lagged 20,617.1043585070581,611.6444914824217
NB Precip lagged 21,636.5930125767709,629.7218445917119
NB Precip lagged 22,620.283329391557,602.3093490730005
NB Precip lagged 23,553.7980040451808,517.2133087261623
NB Precip lagged 24,562.7043739799061,528.6361324451769
NB Precip lagged 25,516.5417120971907,444.7134628842839
NB Precip lagged 26,503.10198760734374,447.70001176904
NB Precip lagged 27,483.3357460420668,424.8614133759918
NB Precip lagged 28,562.5802483535571,491.8820534526302
NB Precip lagged 29,693.5652085326485,677.5283313125609
NB Precip lagged 30,710.9416828359361,687.3323738506133
NB Precip lagged 31,744.1037374026998,740.1198971123041
NB Precip lagged 32,679.152791363494,650.0409088033985
NB Precip lagged 33,634.1365697865133,622.0927208718333
NB Precip lagged 34,667.5634175947798,656.4677517468831
NB Precip lagged 35,668.7628532983193,654.7718494012347
NB Precip lagged 36,713.8676073351048,704.8752142323842
NB Precip lagged 37,748.2332156193617,745.9883263872283
NB Precip lagged 38,797.1664424478482,791.8496263337762
NB Precip lagged 39,825.3151427111543,815.7760768490488
NB Precip lagged 40,874.243693371706,871.2732549600406
NB Precip lagged 41,878.9163332801472,876.46476780906
NB Precip lagged 42,869.4968410314468,865.6682580808347
NB Precip lagged 43,864.1623778775339,862.4492586042838
NB Precip lagged 44,867.6747011218473,865.7313675742121
NB Precip lagged 45,870.2569217204938,867.1546829994016
NB Precip lagged 46,883.4795117785837,881.0230956076732
NB Precip lagged 47,886.2709511698677,883.8407671549596
NB Precip lagged 48,886.2741551743095,883.8635211263661
NB Precip lagged 49,882.0998756705669,879.0619135276484
NB Precip lagged 50,861.383788729267,856.1797665483803
NB Precip lagged 51,836.5930009986902,832.9045394094067
NB Precip lagged 52,829.0956564274913,828.3622367861037
